Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner
2026-03-23,Whole Foods Co-op,Groceries,Blue Cash Preferred® (...4000),WHOLE FOODS MARKET,,-84.80,,Shared
2026-03-23,Venmo,Transfer,Primary Checking (...3910),ORIG CO NAME:VENMO CO ENTRY DESCR:PAYMENT SEC:WEB IND ID:1049088758004 ORIG ID:3264681992,,-62.31,,Shared
2026-03-23,Venmo,Transfer,Primary Checking (...3910),ORIG CO NAME:VENMO CO ENTRY DESCR:PAYMENT SEC:WEB IND ID:1049096683841 ORIG ID:3264681992,,-210.28,,Shared
2026-03-23,Cox Communications,Internet & Cable,Primary Checking (...3910),ORIG CO NAME:COX COMM SAN CO ENTRY DESCR:PURCHASE SEC:PPD ORIG ID:1581620078,,-100.00,,Shared
2026-03-22,Foodologie,Restaurants & Bars,Blue Cash Preferred® (...4000),FOODOLOGIE BAKED GOOLong Beach CA,,-29.32,,Shared
2026-03-22,The Black Tux,Clothing,CREDIT CARD (...6714),SP BN THE BLACK TUX,,-193.50,,Shared
2026-03-22,Tesla,Gas,CREDIT CARD (...6714),TESLA SUPERCHARGER US,,-25.30,,Shared
2026-03-22,Whole Foods Co-op,Groceries,Blue Cash Preferred® (...4000),WHOLE FOODS MARKETLBR,,-70.93,,Shared
2026-03-21,Tesla,Auto Maintenance,CREDIT CARD (...6714),TESLA SUPERCHARGER US,,-21.85,,Shared
2026-03-21,Uber Eats,Restaurants & Bars,Venture X (...4373),UBER *EATS,,-22.66,,Shared
2026-03-21,Yama Sushi,Restaurants & Bars,Venture X (...4373),SQ *YAMA SUSHI MARKETPLAC,,-93.33,,Shared
2026-03-20,Apple,Electronics,CREDIT CARD (...6714),APPLE.COM/BILL,,-2.99,,Shared
2026-03-20,Apple,Electronics,CREDIT CARD (...6714),APPLE.COM/BILL,,-13.99,,Shared
2026-03-20,Target,Shopping,CREDIT CARD (...6714),TARGET        00033597,,-21.27,,Shared
2026-03-20,Amazon,Shopping,Venture X (...4373),AMAZON MKTPL*BD9LJ6E10,,-10.96,,Shared
2026-03-20,GGET,Coffee Shops,Venture X (...4373),SQ *GGET LARCHMONT,,-45.00,,Shared
2026-03-20,Contribution,Retirement,Katrina DOORDASH 401(K) PLAN (...*****9429),contribution,,31.73,,Shared
2026-03-20,Contribution,Retirement,Katrina DOORDASH 401(K) PLAN (...*****9429),contribution,,602.89,,Shared
2026-03-20,Apple,Electronics,CREDIT CARD (...6714),APPLE.COM/BILL,,-13.99,,Shared
2026-03-20,Black Tux,Paychecks,Primary Checking (...3910),309955 BLACK TUX PAYROLL PPD ID: 2364227403,,4486.11,,Shared
